frame,detections
550,0:0.87:743.2:527.3:160.3:541.0
551,0:0.84:726.1:526.3:176.1:539.2
552,0:0.85:736.6:525.1:190.2:538.9
553,0:0.82:722.3:524.1:186.3:536.0
554,0:0.85:705.4:526.3:200.1:534.1
555,0:0.88:681.5:529.5:240.3:536.6
556,0:0.87:664.2:528.9:273.5:533.4
557,0:0.88:636.2:531.9:322.3:536.3
558,0:0.84:630.5:531.8:333.2:534.5
559,0:0.91:617.9:532.4:359.6:537.8
560,0:0.91:612.2:531.4:366.4:537.0
561,0:0.89:625.6:531.1:330.9:539.2
562,0:0.87:629.9:525.4:302.8:537.1
563,0:0.91:599.0:525.3:334.4:541.0
564,0:0.91:588.2:526.2:310.2:541.3
565,0:0.90:581.7:512.3:278.8:530.9;0:0.35:534.3:506.8:179.4:518.0
566,0:0.86:564.6:506.0:253.6:540.9
567,0:0.79:539.3:500.7:228.4:534.9
568,0:0.71:508.2:499.9:190.8:531.0
569,0:0.83:480.5:500.8:188.0:541.9
570,0:0.88:479.0:504.1:212.3:559.1
571,0:0.89:461.8:506.4:213.2:563.5
572,0:0.88:456.2:505.2:247.1:553.6
573,0:0.91:449.8:508.0:265.4:549.9
574,0:0.89:440.1:513.6:284.9:538.1
575,0:0.86:436.6:511.1:292.9:527.5
576,0:0.89:422.3:509.0:328.4:525.1
577,0:0.91:402.4:512.5:361.8:521.5
578,0:0.91:395.3:516.6:379.9:530.3
579,0:0.93:387.2:519.0:381.8:532.6
580,0:0.92:378.3:519.4:387.1:534.6
581,0:0.91:364.7:518.1:395.3:533.9
582,0:0.91:342.3:516.5:408.1:534.4
583,0:0.91:328.2:515.3:400.2:543.0
584,0:0.91:291.1:514.8:403.6:551.4
585,0:0.89:248.9:512.3:347.0:550.8
586,0:0.92:246.4:507.8:381.0:556.8
587,0:0.89:229.8:507.2:363.8:555.2
588,0:0.89:208.8:508.5:364.6:561.8
589,0:0.91:186.1:509.5:349.9:560.4
590,0:0.91:167.8:510.9:333.5:563.2
591,0:0.90:164.6:510.0:327.2:558.2
592,0:0.88:165.0:512.4:327.4:560.4
593,0:0.74:165.3:514.9:328.5:559.4
594,0:0.35:165.0:515.6:329.0:554.5
595,
596,
597,
598,
599,
600,
601,
602,
603,
604,
605,
606,
607,
608,
609,0:0.28:56.6:663.5:112.9:269.1
610,
611,
612,
613,
614,
615,
616,
617,
618,
619,
620,
621,
622,
623,
624,
625,
626,
627,
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,
650,
651,
652,
653,
654,
655,
656,
657,
658,
659,
660,
661,
662,
663,
664,
665,
666,
667,
668,
669,
670,
671,
672,
673,
674,
675,
676,
677,
678,
679,
680,
681,
682,
683,
684,
685,
686,
687,
688,
689,
690,
691,
692,
693,
694,
695,
696,
697,
698,
699,
700,
701,
702,
703,
704,
705,
706,
707,
708,
709,
710,
711,
712,
713,
714,
715,
716,
717,
718,
719,
720,
721,
722,
723,
724,
725,
726,
727,
728,
729,
730,
731,
732,
733,
734,
735,
736,
737,
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,0:0.35:191.1:467.5:380.8:537.2
760,0:0.86:203.7:472.9:400.4:536.1
761,0:0.90:224.6:476.2:369.6:537.7
762,0:0.91:232.7:476.3:358.7:537.2
763,0:0.90:252.9:477.1:358.3:529.8
764,0:0.91:263.4:479.2:349.3:528.1
765,0:0.88:264.0:474.1:328.1:517.3
766,0:0.88:262.6:470.2:293.4:507.4
767,0:0.90:270.7:470.9:281.2:509.3
768,0:0.90:279.7:470.8:262.1:518.3
769,0:0.89:287.3:468.4:247.9:525.2
770,0:0.85:285.0:466.1:255.8:517.0
771,0:0.86:313.3:465.5:247.8:519.0
772,0:0.87:338.3:467.0:247.5:525.3
773,0:0.89:360.0:467.7:248.6:529.5
774,0:0.89:387.8:469.5:273.4:522.9
775,0:0.89:411.0:468.5:294.0:527.1
776,0:0.87:420.3:472.0:279.8:519.2
777,0:0.85:457.8:478.3:324.7:512.1
778,0:0.88:490.8:479.0:334.2:514.1
779,0:0.90:506.4:478.3:328.0:514.1
780,0:0.91:512.8:483.9:321.2:509.7
781,0:0.93:515.3:488.6:332.8:510.2
782,0:0.93:521.1:487.6:336.7:515.8
783,0:0.91:527.7:481.1:332.2:519.0
784,0:0.91:537.4:480.2:310.4:512.8
785,0:0.91:548.0:477.8:299.2:510.1
